fullname,class,order,family,genericName,genus,description
Vespertilio sinensis,Mammalia,Chiroptera,Vespertilionidae,Vespertilio,Vespertilio,"The Asian parti-colored bat (Vespertilio sinensis) is a species of parti-coloured bat. An adult Asian parti-colored bat has a body length of 6–7 cm, a tail of 4.3-4.5 cm, and a wing length of 5 cm. Asian parti-colored bats are distributed across East Asia, from Taiwan through eastern China, eastern Mongolia and Russia (Siberia) to the Korean Peninsula and Japan (Hokkaido, Honshu, Shikoku, and Kyushu)."
Myotis alcathoe,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis,"The Alcathoe bat (Myotis alcathoe) is a European bat in the genus Myotis. Known only from Greece and Hungary when it was first described in 2001, its known distribution has since expanded to Spain, England, Sweden, and Azerbaijan, among other countries. It is similar to the whiskered bat (Myotis mystacinus) and other species and is difficult to distinguish from them. However, its brown fur is distinctive and it is clearly different in characters of its karyotype and DNA sequences. Although some genetic data suggest that it is related to Geoffroy's bat (Myotis emarginatus), other analyses do not support a close relationship between M. alcathoe and any other species."
Vespadelus vulturnus,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,The little forest bat (Vespadelus vulturnus) is a species of vesper bat in the family Vespertilionidae.
Vespadelus regulus,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,The southern forest bat (Vespadelus regulus) is a vespertilionid bat found in Australia.
Vespadelus troughtoni,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,The eastern cave bat or Troughton's forest bat (Vespadelus troughtoni) is a species of vesper bat in the family Vespertilionidae. It is found only in Australia. This bat lives in caves along the east coast of Australia and in adjacent inland ranges.
Vespadelus pumilus,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,"The eastern forest bat (Vespadelus pumilus) is a species of vesper bat in the family Vespertilionidae. It is found only in Australia, where it has been recorded from Queensland to New South Wales. The population is in decline, with the number of mature individuals decreasing."
Vespadelus finlaysoni,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,Finlayson's cave bat (Vespadelus finlaysoni) is a species of vespertilionid bat found only in Australia.
Vespadelus darlingtoni,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,"The large forest bat (Vespadelus darlingtoni) is a vespertilionid bat found in southeast Australia, Tasmania, and Lord Howe Island. They are classified as common."
Vespadelus caurinus,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,The northern cave bat (Vespadelus caurinus) is a vespertilionid bat that occurs in Australia.
Vespadelus douglasorum,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,"The yellow-lipped cave bat (Vespadelus douglasorum) is a vespertilionid bat which only occurs in the Kimberley region of northwest Australia. The bat was first captured at Tunnel Creek in 1958 and a description published nearly twenty years later. Aside from observations of their physical characteristics, a preference for caves, and hunting insects over streams, little is known of the species."
Vespadelus baverstocki,Mammalia,Chiroptera,Vespertilionidae,Vespadelus,Vespadelus,"The inland forest bat (Vespadelus baverstocki) is a vespertilionid bat that occurs in central and arid regions in Australia. They were first described in 1987, published in a review of poorly surveyed microbat populations. A tiny flying mamamal, whose body is around twelve millimetres (½ inch) long, that occupies small cavities in trees and buildings while roosting. The nocturnal activity is foraging for insects, typically moths."
Neoromicia zuluensis,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,"The Zulu serotine (Neoromicia zuluensis), also called the Zulu pipistrelle, aloe bat, or aloe serotine, is a species of vesper bat found in Angola, Botswana, Democratic Republic of the Congo, Ethiopia, Kenya, Malawi, Namibia, South Africa, South Sudan, Uganda, Zambia, and Zimbabwe."
Neoromicia tenuipinnis,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,The white-winged serotine (Neoromicia tenuipinnis) is a species of vesper bat.
Neoromicia rendalli,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,"Rendall's serotine (Neoromicia rendalli) is a species of vesper bat. It is found in Benin, Botswana, Burkina Faso, Cameroon, Central African Republic, Chad, Republic of the Congo, Democratic Republic of the Congo, Gambia, Ghana, Kenya, Malawi, Mali, Mozambique, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Africa, Sudan, Tanzania, Uganda, and Zambia. Its natural habitats are dry savanna, moist savanna, subtropical or tropical dry shrubland, and subtropical or tropical moist shrubland. It is threatened by habitat loss."
Neoromicia helios,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,Heller's pipistrelle (Neoromicia helios) is a species of vesper bat.
Neoromicia guineensis,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,The tiny serotine (Neoromicia guineensis) is a species of vesper bat.
Neoromicia flavescens,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,The yellow serotine (Neoromicia flavescens) is a species of vesper bat.
Hypsugo vordermanni,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The Vordermann's pipistrelle (Hypsugo vordermanni) is a species of vesper bat found in Brunei Darussalam, Indonesia, and Malaysia."
Hypsugo savii,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"Savi's pipistrelle (Hypsugo savii sometimes classified as Pipistrellus savii) is a species of vesper bat found across North West Africa, the Mediterranean region and the Middle East. It feeds at night on flying insects. In the summer it roosts under bark, in holes in trees, in old buildings and in rock crevices but in winter it prefers roosts where the temperature is more even such as caves, underground vaults and deep rock cracks."
Neoromicia capensis,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia,The Cape serotine (Neoromicia capensis) is a species of vesper bat occurring in Sub-Saharan Africa. 'Serotine' is from Latin 'serotinus' meaning ‘of the evening'.
Hypsugo pulveratus,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The Chinese pipistrelle (Hypsugo pulveratus) is a species of vesper bat in the family Vespertilionidae. It is found in China, Laos, Thailand, and Vietnam."
Hypsugo musciculus,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The mouselike pipistrelle (Hypsugo musciculus) is a species of vesper bat in the family Vespertilionidae. It is found in Cameroon, Republic of the Congo, Democratic Republic of the Congo, and Gabon. Its natural habitats are subtropical or tropical dry forest and subtropical or tropical moist lowland forest."
Hypsugo macrotis,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The big-eared pipistrelle (Hypsugo macrotis) is a species of vesper bat in the family Vespertilionidae. It can be found in Brunei, Indonesia, Singapore2 and Malaysia. It forages over mud flats over Peninsula Malaysia but its roosting activities are unknown. Its habitat is being threatened by deforestation for agriculture, plantations, logging and fires but how it affects this bat or if it is adaptable are unknown."
Hypsugo crassulus,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The broad-headed pipistrelle (Hypsugo crassulus) is a species of vesper bat in the family Vespertilionidae. It is found in Angola, Cameroon, Republic of the Congo, Democratic Republic of the Congo, Ivory Coast, Guinea, liberia, Kenya, South Sudan, and Uganda. Its natural habitats are subtropical or tropical dry forest, subtropical or tropical moist lowland forest, and subtropical or tropical moist montane forest."
Hypsugo imbricatus,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,The brown pipistrelle (Hypsugo imbricatus) is a species of vesper bat in the family Vespertilionidae. It is found in Indonesia and Malaysia.
Hypsugo bodenheimeri,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The desert pipistrelle (Hypsugo ariel) is a species of vesper bat in the genus Hypsugo. It is found in Egypt, Israel, Jordan, Oman, Saudi Arabia, Sudan, and Yemen. Some of the Arabian populations were previously regarded as a separate species, Hypsugo bodenheimeri, but the proposed differences between the two do not hold. Its natural habitats are subtropical or tropical dry shrubland, rocky areas, and hot deserts."
Hypsugo eisentrauti,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"Eisentraut's pipistrelle (Hypsugo eisentrauti) is a species of vesper bat in the family Vespertilionidae. It is found in Cameroon, Democratic Republic of the Congo, Kenya, Somalia, and Uganda. Its natural habitats are subtropical or tropical dry forest, subtropical or tropical moist lowland forest, subtropical or tropical mangrove forest, and subtropical or tropical moist montane forest."
Hypsugo joffrei,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,Joffre's pipistrelle (Hypsugo joffrei) is a species of vesper bat in the family Vespertilionidae. It is found in South and Southeast Asia. It is threatened by habitat loss.
Hypsugo lophurus,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,The Burma pipistrelle (Hypsugo lophurus) is a species of vesper bat in the family Vespertilionidae found in Myanmar. It is known from Maliwun in Tanintharyi Region (Tenasserim).
Hypsugo ariel,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"The desert pipistrelle (Hypsugo ariel) is a species of vesper bat in the genus Hypsugo. It is found in Egypt, Israel, Jordan, Oman, Saudi Arabia, Sudan, and Yemen. Some of the Arabian populations were previously regarded as a separate species, Hypsugo bodenheimeri, but the proposed differences between the two do not hold. Its natural habitats are subtropical or tropical dry shrubland, rocky areas, and hot deserts."
Hypsugo anthonyi,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"Hypsugo anthonyi, also known as Anthony's pipistrelle, is a species of vesper bat. It is known from a single specimen, collected at Changyinku, Burma, at 7000 ft (2134 m) altitude. Its taxonomic status is doubtful; while currently classified in Hypsugo and previously in Pipistrellus, it may also belong to Nyctalus or Philetor. The IUCN Red List lists the species as ""Data Deficient"" because so little is known about it."
Hypsugo arabicus,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,The Arabian pipistrelle (Hypsugo arabicus) is a species of vesper bat in the family Vespertilionidae. It is found only in Oman.
Hypsugo cadornae,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"Cadorna's pipistrelle (Hypsugo cadornae) is a species of vesper bat in the family Vespertilionidae. It is found in India, Laos, Myanmar, Thailand, and Vietnam."
Hypsugo anchietae,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,"Anchieta's pipistrelle (Pipistrellus anchietae) is a species of vesper bat. It is found in Angola, Democratic Republic of the Congo, South Africa, Zambia, Zimbabwe and Madagascar. The species inhabits dry savanna and moist savanna habitats."
Histiotus laephotis,Mammalia,Chiroptera,Vespertilionidae,Histiotus,Histiotus,Thomas's big-eared brown bat (Histiotus laephotis) is a species of vesper bat found in South America.
Histiotus humboldti,Mammalia,Chiroptera,Vespertilionidae,Histiotus,Histiotus,Humboldt big-eared brown bat (Histiotus humboldti) is a species of vesper bat in the family Vespertilionidae. It is found in Colombia and Venezuela.
Histiotus magellanicus,Mammalia,Chiroptera,Vespertilionidae,Histiotus,Histiotus,"The southern big-eared brown bat (Histiotus magellanicus) is a species of bat from the family Vespertilionidae. Although current taxonomy treats the southern big-eared brown bat as a separate species, it is often treated as a subspecies of the small big-eared brown bat. It lives in the forests of southern Argentina and Chile; though the population of the bat in the southern part of its habitat is low, there are no major concerns to justify anything lower than a Least Concern rating in the IUCN Red List. There is some habitat destruction, as well as trouble with beavers in Tierra del Fuego."
Glauconycteris variegata,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,"The variegated butterfly bat (Glauconycteris variegata) is a species of vesper bat. It is sometimes also called the leaf-winged bat, or simply the butterfly bat. It is not currently endangered, but may be threatened by habitat loss in some parts of its range."
Glauconycteris poensis,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,The Abo bat (Glauconycteris poensis) is a species of vesper bat in the family Vespertilionidae. It is found in several countries in West Africa and Central Africa. It is found in these habitats: subtropical or tropical dry forest and subtropical or tropical moist lowland forest.
Glauconycteris machadoi,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,Machado's butterfly bat (Glauconycteris machadoi) is a species of vesper bat in the family Vespertilionidae. It is found only in Angola. Its natural habitat is subtropical or tropical moist lowland forests.
Glauconycteris kenyacola,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,The Kenyan wattled bat (Glauconycteris kenyacola) is a species of vesper bat and a member of the family Vespertilionidae. It is found only in Kenya.
Glauconycteris gleni,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,Glen's wattled bat (Glauconycteris gleni) is a species of vesper bat in the family Vespertilionidae. It is found in Cameroon and Uganda. Its natural habitat is subtropical or tropical moist lowland forests. It is threatened by habitat loss.
Glauconycteris humeralis,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,"Allen's spotted bat (Glauconycteris humeralis) is a species of vesper bat in the family Vespertilionidae found in the following countries: the Central African Republic, the Democratic Republic of the Congo, Kenya, and Uganda. It is found in subtropical or tropical moist lowland forests."
Glauconycteris egeria,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,"The Bibundi bat (Glauconycteris egeria) is a species of vesper bat in the family Vespertilionidae. It can be found in the following countries: Cameroon, Republic of the Congo, and Uganda. It is also found in Dzanga-Sangha Special Reserve."
Glauconycteris curryae,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,Curry's bat (Glauconycteris curryae) is a species of vesper bat in the family Vespertilionidae. It is found in Cameroon and Democratic Republic of the Congo. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical swamps.
Glauconycteris beatrix,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,"Beatrix's bat (Glauconycteris beatrix) is a species of vesper bat in the family Vespertilionidae. It can be found in the following countries: Angola, Central African Republic, Democratic Republic of the Congo, Ivory Coast, Equatorial Guinea, Gabon, Ghana, Kenya, and Nigeria. It is found in these habitats: subtropical or tropical moist lowland forests. It is threatened by habitat loss."
Glauconycteris argentata,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,"The silvered bat (Glauconycteris argentata) is a species of vesper bat in the family Vespertilionidae. It is found in Angola, Burundi, Cameroon, Republic of the Congo, Democratic Republic of the Congo, Equatorial Guinea, Kenya, Malawi, Rwanda, and Tanzania. Its natural habitats are subtropical or tropical moist lowland forests and moist savanna."
Falsistrellus tasmaniensis,Mammalia,Chiroptera,Vespertilionidae,Falsistrellus,Falsistrellus,"The eastern false pipistrelle, species Falsistrellus tasmaniensis, is a vespertilionid bat that occurs in eastern and south-eastern Australia, including the island of Tasmania."
Glauconycteris alboguttata,Mammalia,Chiroptera,Vespertilionidae,Glauconycteris,Glauconycteris,"Allen's striped bat (Glauconycteris alboguttata) is a species of bat in the family Vespertilionidae, the vesper bats. It is native to Africa, where it occurs in Cameroon and the Democratic Republic of the Congo. This species can be found in lowland tropical moist forests. Little else is known about it."
Falsistrellus petersi,Mammalia,Chiroptera,Vespertilionidae,Falsistrellus,Falsistrellus,"The Peters's pipistrelle (Falsistrellus petersi) is a species of vesper bat in the family Vespertilionidae. It is found in Indonesia, Malaysia, and the Philippines."
Falsistrellus mordax,Mammalia,Chiroptera,Vespertilionidae,Falsistrellus,Falsistrellus,The pungent pipistrelle (Falsistrellus mordax) is a species of vesper bat in the family Vespertilionidae. It is found in Indonesia and possibly the Philippines.
Chalinolobus neocaledonicus,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Chalinolobus,New Caledonia wattled bat (Chalinolobus neocaledonicus) is a species of vesper bat (family Vespertilionidae) in the genus Chalinolobus. It is found only in New Caledonia.
Falsistrellus mackenziei,Mammalia,Chiroptera,Vespertilionidae,Falsistrellus,Falsistrellus,"The western false pipistrelle, species Falsistrellus mackenziei, is a vespertilionid bat that occurs in Southwest Australia. The population is declining due to loss of its habitat, old growth in tall eucalypt forest which has largely been clear felled for tree plantations, wheat cultivation and urbanisation. Although it is one of the largest Australian bats of the family, the species was not recorded or described until the early 1960s. A darkly colored bat with reddish brown fur and prominent ears, they fly rapidly around the upper canopy of trees in pursuit of flying insects."
Falsistrellus affinis,Mammalia,Chiroptera,Vespertilionidae,Falsistrellus,Falsistrellus,"The chocolate pipistrelle (Falsistrellus affinis) is a species of vesper bat in the family Vespertilionidae. It is found in China, India, Myanmar, Nepal, and Sri Lanka."
Plecotus sardus,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus,"The Sardinian long-eared bat (Plecotus sardus) is a species of bat endemic to Sardinia, Italy."
Plecotus kolombatovici,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus,"Kolombatovic's long-eared bat (Plecotus kolombatovici), also known as the Mediterranean long-eared bat, is a European species of bat found in the Balkans."
Plecotus alpinus,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus,"The Alpine long-eared bat or mountain long-eared bat (Plecotus macrobullaris) is a species of long-eared bat. It was originally described from Switzerland and Austria as a species intermediate between the brown long-eared bat and the grey long-eared bat in 1965. It was later described in 2001 and 2002, from France and Austria, respectively. Despite its name, this species is not restricted to the Alps, being found in Croatia, Bosnia and Herzegovina and elsewhere. It differs from other European long-eared bats, such as the brown long-eared bat, by its white underparts."
Plecotus balensis,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus,The Ethiopian big-eared bat or Ethiopian long-eared bat (Plecotus balensis) is a recently described species of long-eared bat in the family Vespertilionidae.
Pipistrellus wattsi,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,Watt's pipistrelle (Pipistrellus wattsi) is a species of vesper bat. It is found only in Papua New Guinea.
Scotozous dormeri,Mammalia,Chiroptera,Vespertilionidae,Scotozous,Scotozous,Dormer's bat or Dormer's pipistrelle (Scotozous dormeri) is a species of vesper bat. It is monotypical for its genus.
Pipistrellus westralis,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,"The northern pipistrelle, species Pipistrellus westralis, also known as Koopman's or the mangrove pipistrelle, is a species of vesper bat found only in Australia. It is one of Australia's smallest bat species. On average, it weighs 3 g (0.11 oz)."
Pipistrellus rueppellii,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,"Rüppell's pipistrelle (Pipistrellus rueppellii) is a species of vesper bat found in Africa and Asian republics such as Iraq and Israel. It is found in dry and moist savanna, subtropical or tropical dry shrubland, and hot deserts."
Pipistrellus deserti,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,"Kuhl's pipistrelle (Pipistrellus kuhlii) is a species of vesper bat that lives over large areas of North Africa, southern Europe and Western Asia. It can be found in temperate forests, subtropical or tropical dry shrubland, Mediterranean-type shrubby vegetation, temperate grassland, rural gardens, and urban areas."
Pipistrellus papuanus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,The lesser Papuan pipistrelle (Pipistrellus papuanus) is a species of vesper bat. It can be found in Indonesia and Papua New Guinea.
Pipistrellus hesperidus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,The dusky pipistrelle (Pipistrellus hesperidus) is a small pipistrelle bat found in Africa.
Pipistrellus pygmaeus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,The soprano pipistrelle (Pipistrellus pygmaeus) is a small bat that in taxonomy was only formally separated from the common pipistrelle (Pipistrellus pipistrellus) in 1999. It is possible that these two groups diverged from one another in the Mediterranean and that is why the Pipistrellus pygmaeus has the ability to thermal regulate at such high temperatures as 40 degrees C.
Pipistrellus adamsi,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,"The forest pipistrelle (Pipistrellus adamsi), is a species of vesper bat found in Australia, in the northern most parts of Queensland and the Northern Territory."
Pipistrellus collinus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,The Greater Papuan pipistrelle (Pipistrellus collinus) is a species of vesper bat found in Papua New Guinea and Irian Jaya.
Hypsugo kitcheneri,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo,The red-brown pipistrelle (Hypsugo kitcheneri) is a species of vesper bat in the family Vespertilionidae. It is found in Indonesia and possibly Malaysia.
Pipistrellus angulatus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,"The angulate pipistrelle (Pipistrellus angulatus), also known as the New Guinea pipistrelle, is a species of vesper bat found in Papua New Guinea and the Solomon Islands."
Pipistrellus abramus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus,"The Japanese house bat or Japanese pipistrelle (Pipistrellus abramus) is a species of vesper bat. An adult has a body length of 3.6 - 4.8 cm, a tail of 2.9 - 4.0 cm, and a wing length of 3.2 - 3.6 cm. It prefers to roost under the ceiling or inside the roof of old buildings. It is found across East Asia, from China and Taiwan into the Ussuri region, the Korean Peninsula, and Japan."
Nyctalus plancyi,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus,The Chinese noctule (Nyctalus plancyi) is a common and widespread species of bat belonging to the family Vespertilionidae.
Nyctophilus nebulosus,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus,Nyctophilus,"The New Caledonian long-eared bat, species Nyctophilus nebulosus, is a vespertilionid bat found in New Caledonia. They are only recorded at Mount Koghis, near Nouméa, and the population is decreasing."
Nyctophilus bifax,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus,Nyctophilus,"The eastern long-eared bat, species Nyctophilus bifax, is a small flying mammal, a vespertilionid bat. It is found in eastern Australia and Papua New Guinea."
Nyctophilus howensis,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus,Nyctophilus,"Lord Howe long-eared bat, species Nyctophilus howensis, is a vespertilionid bat known only by a single specimen, a skull found on Lord Howe Island in 1972. A mammalian insectivorous species resembling the long-eared Nyctophilus, with an elongated head that is comparatively larger, about which almost nothing is known. The bat may have been casually observed in flight during the twentieth century, but is likely to have become extinct since the island's discovery and occupation. The demise of N. howensis is possibly the result of shipwrecked rats and the owls introduced to control them."
Nyctalus furvus,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus,The Japanese noctule (Nyctalus furvus) is a species of bat belonging to the family Vespertilionidae. It is endemic to Japan.
Scotorepens sanborni,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,Scotorepens,"The northern broad-nosed bat (Scotorepens sanborni) is a species of vesper bat. It can be found in northern Australia, Indonesia, and Papua New Guinea."
Scotorepens greyii,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,Scotorepens,"The little broad-nosed bat (Scotorepens greyii) (pronounced skoh’-toh-rep’-enz grey’-ee-ee’) translates to Grey’s darkness creeper. Sometimes called sometimes called Grey’s broad-nosed after the third governor of South Australia Sir John Edward Grey. It is a species of vesper bat, which is one of the largest and best-known family of bats. They are endemic to Australia, are insectivores and have a broad range within the mainland, mainly in hot arid areas but also found in tropical rainforests."
Scotorepens orion,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,Scotorepens,"The eastern broad-nosed bat (Scotorepens orion) is a species of vesper bat. It is found only in Australia, east of the Great Dividing Range, from about Rockhampton to Melbourne, with s small isolated population on the Atherton Tablelands. It is a medium-sized bat, with forearm 32.4 to 38.8 mm. Its fur-colour is a rich dark brown on the back, with a more drab belly, not markedly bicoloured. It can be separated from S. balstoni by its penis morphology, which has eight spines on the head of the glans in an almost circular cluster. It roosts in tree hollows but has been reported to roost in buildings. It is known to share roosts with other similar-sized bats such as the Chocolate Wattled bat. A single young is born in November or December.(Churchill)"
Scotophilus nucella,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus,"Robbins's yellow bat (Scotophilus nucella) is a species of vesper bat. It is found in Ivory Coast, Ghana, and Uganda."
Scotorepens balstoni,Mammalia,Chiroptera,Vespertilionidae,Scotorepens,Scotorepens,"The inland broad-nosed bat (Scotorepens balstoni), also known as the western broad-nosed bat, is a species of vesper bat. It is endemic to Australia and is widespread throughout the inland, especially in arid and semi-arid regions. This insectivorous microbat, measuring 12 cm in length, roosts in tree hollows during the day and forages over woodland and water at night."
Scotophilus collinus,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus,"Sody's yellow house bat (Scotophilus collinus) is a species of vesper bat. It is native to Indonesia, Malaysia, and Timor-Leste. This species was described in 1936."
Scotoecus hindei,Mammalia,Chiroptera,Vespertilionidae,Scotoecus,Scotoecus,"Hinde's lesser house bat (Scotoecus hindei) is a species of vesper bat. It is found in Cameroon, Republic of the Congo, Kenya, Malawi, Mozambique, Nigeria, Somalia, South Sudan, Tanzania, and Zambia. Its natural habitat is dry savanna. Oldfield Thomas named it in honor of Sidney Langford Hinde, a British officer and recreational naturalist."
Scotophilus heathii,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus,The greater Asiatic yellow bat (Scotophilus heathii) is a species of vesper bat.
Scotoecus albigula,Mammalia,Chiroptera,Vespertilionidae,Scotoecus,Scotoecus,"The white-bellied lesser house bat (Scotoecus albigula) is a species of vesper bat. It can be found in Angola, Kenya, Malawi, Mozambique, Somalia, Uganda, and Zambia."
Scoteanax rueppellii,Mammalia,Chiroptera,Vespertilionidae,Scoteanax,Scoteanax,Rüppell's broad-nosed bat (Scoteanax rueppellii) is a species of vesper bat found in Australia.
Rhogeessa hussoni,Mammalia,Chiroptera,Vespertilionidae,Rhogeessa,Rhogeessa,Husson's yellow bat (Rhogeessa (Rhogeessa) hussoni) is a species of vesper bat found in Suriname and southern Brazil.
Rhogeessa aeneus,Mammalia,Chiroptera,Vespertilionidae,Rhogeessa,Rhogeessa,"The Yucatan yellow bat (Rhogeessa aeneus) is a species of bat found in the Yucatán Peninsula in Mexico, and possibly also in Belize and Guatemala. These small insectivorous bats forage on flying insects (most likely mosquitoes) at dawn and dusk."
Rhogeessa io,Mammalia,Chiroptera,Vespertilionidae,Rhogeessa,Rhogeessa,Thomas's yellow bat (Rhogeessa io) is a species of bat from the family Vespertilionidae.
Nycticeius cubanus,Mammalia,Chiroptera,Vespertilionidae,Nycticeius,Nycticeius,"The Cuban evening bat (Nycticeius cubanus) is a species of bat in the vesper bat family, Vespertilionidae, that is endemic to western Cuba. It is a small bat, even smaller than cogener Nycticeius humeralis. It is insectivorous, but otherwise little is known about its behavior and diet."
Nycticeius aenobarbus,Mammalia,Chiroptera,Vespertilionidae,Nycticeius,Nycticeius,Temminck's mysterious bat (Nycticeius aenobarbus) is a species of bat of the family Vespertilionidae.
Lasiurus salinae,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus,"The saline red bat (Lasiurus salinae) is a species of bat from the family Vespertilionidae. It was formerly included as a subspecies or a synonym of the eastern red bat and the desert red bat, but is distinct. The species is present in Argentina, and its type locality has been found in the city of Cruz del Eje in the Córdoba Province."
Lasiurus varius,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus,"The cinnamon red bat (Lasiurus varius) is a species of bat from the family Vespertilionidae. It is often listed as a synonym of the eastern red bat or the desert red bat, but is distinct."
Lasiurus insularis,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus,"The Cuban yellow bat (Lasiurus insularis) is a species of bat from the family Vespertilioninae. It was previously included as a subspecies of the Northern yellow bat, a species that has a similar ecology and biology. The species is endemic to Cuba, specifically the Las Villas Province in Cienfuegos, and it is listed under the IUCN Red List as vulnerable due to its ongoing population reduction and relatively small geographic range."
Lasiurus ebenus,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus,"The hairy-tailed bat (Lasiurus ebenus), is a bat species originally known only from its type locality, Ilha do Cardoso State Park in Brazil. A second specimen was collected in 2018, in Carlos Botelho State Park, approximately 100 kilometers away."
Lasiurus degelidus,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus,The Jamaican red bat (Lasiurus degelidus) is a species of vesper bat. It is endemic to Jamaica.
